feature,mean_harm,mean_benign,act_gap,freq_harm,freq_benign
10901,30.143723,16.65058,13.493143,1.0,1.0
12418,18.610184,8.80953,9.800653,0.84,0.53
1979,8.507901,0.4981242,8.009777,0.62,0.04
11139,6.539208,0.0,6.539208,0.47,0.0
8293,5.868615,0.0,5.868615,0.5,0.0
1389,6.586461,1.1266737,5.4597874,0.74,0.15
5167,5.414542,0.0,5.414542,0.54,0.0
5053,4.8738246,0.0,4.8738246,0.36,0.0
3866,4.6002245,0.21309473,4.38713,0.48,0.03
681,4.3094106,0.06630706,4.2431035,0.17,0.01
8255,4.3330636,0.1353949,4.1976686,0.37,0.02
3242,4.1065536,0.0,4.1065536,0.32,0.0
12800,9.065717,5.1498537,3.915863,0.78,0.42
6165,3.361896,0.12699184,3.2349043,0.23,0.01
5649,3.038938,0.0,3.038938,0.36,0.0
4747,3.0863059,0.05908617,3.0272198,0.23,0.01
14574,3.6215746,0.62048984,3.0010848,0.41,0.08
16130,2.9742496,0.0,2.9742496,0.27,0.0
299,2.8895786,0.0,2.8895786,0.27,0.0
14363,2.828517,0.0,2.828517,0.22,0.0
6530,2.9179695,0.1076045,2.810365,0.27,0.01
11044,2.8264513,0.05356634,2.7728848,0.21,0.01
12659,2.6078303,0.0,2.6078303,0.2,0.0
13990,2.8260226,0.29117826,2.5348444,0.33,0.04
12863,2.4535835,0.0,2.4535835,0.2,0.0
9192,2.5136638,0.07512396,2.4385397,0.17,0.01
2664,2.3657622,0.0,2.3657622,0.27,0.0
6683,2.4179335,0.058000993,2.3599324,0.21,0.01
16315,2.3993652,0.05171123,2.3476539,0.23,0.01
6990,2.31782,0.0,2.31782,0.17,0.0
4090,2.3079317,0.056065626,2.251866,0.3,0.01
5289,2.2042527,0.0,2.2042527,0.25,0.0
13568,2.203558,0.0,2.203558,0.28,0.0
3623,2.1919477,0.0,2.1919477,0.17,0.0
10129,2.1853955,0.0,2.1853955,0.25,0.0
3838,3.496474,1.3121486,2.1843255,0.32,0.1
11212,2.7108984,0.61388516,2.0970132,0.24,0.07
10393,2.4580054,0.36506885,2.0929365,0.33,0.05
10054,2.2062807,0.14639716,2.0598836,0.22,0.02
2666,2.0769749,0.054137915,2.022837,0.28,0.01
6882,3.502942,1.5238941,1.979048,0.41,0.19
3626,1.987254,0.05195921,1.9352949,0.28,0.01
3878,1.9246942,0.0,1.9246942,0.17,0.0
15307,1.9047807,0.0,1.9047807,0.15,0.0
8020,1.8894833,0.0,1.8894833,0.19,0.0
6459,1.8506662,0.0,1.8506662,0.23,0.0
14425,1.8418791,0.0,1.8418791,0.2,0.0
5528,1.891863,0.057340335,1.8345226,0.23,0.01
81,2.0053093,0.18229991,1.8230095,0.21,0.02
6045,1.7991413,0.0,1.7991413,0.11,0.0
1355,1.7953945,0.0,1.7953945,0.19,0.0
2161,1.912383,0.14074022,1.7716427,0.24,0.02
11084,1.7535249,0.0,1.7535249,0.19,0.0
6233,1.7398596,0.0,1.7398596,0.22,0.0
7469,2.545999,0.8088234,1.7371757,0.33,0.12
5236,1.7258726,0.0,1.7258726,0.18,0.0
14075,1.8412764,0.120822735,1.7204536,0.17,0.02
7807,1.7118999,0.0,1.7118999,0.2,0.0
9419,1.8679919,0.18548156,1.6825104,0.19,0.02
3076,1.8536578,0.18737978,1.6662781,0.24,0.02
11983,1.648188,0.0,1.648188,0.19,0.0
1220,1.5710379,0.0,1.5710379,0.17,0.0
9750,1.5487579,0.0,1.5487579,0.17,0.0
2990,1.753833,0.20603916,1.5477939,0.23,0.03
12079,1.7144011,0.18193537,1.5324657,0.21,0.03
14123,1.4810383,0.0,1.4810383,0.23,0.0
2941,1.4797544,0.0,1.4797544,0.13,0.0
8171,1.4719015,0.0,1.4719015,0.17,0.0
14366,1.4674395,0.0,1.4674395,0.12,0.0
2034,1.4574207,0.0,1.4574207,0.13,0.0
10483,1.5479989,0.12340875,1.4245901,0.12,0.01
13094,1.4890207,0.06649559,1.4225252,0.13,0.01
16061,1.4215498,0.0,1.4215498,0.14,0.0
150,3.108797,1.6959805,1.4128165,0.38,0.23
10777,2.7664554,1.3570949,1.4093605,0.39,0.2
15430,1.7742697,0.37017715,1.4040926,0.1,0.04
13334,1.3967261,0.0,1.3967261,0.16,0.0
10276,1.3728975,0.0,1.3728975,0.11,0.0
13297,1.9578233,0.5890833,1.36874,0.27,0.09
5399,1.7287925,0.37629575,1.3524969,0.24,0.06
9901,1.3457097,0.0,1.3457097,0.18,0.0
13293,2.4922028,1.177046,1.3151568,0.28,0.15
12001,1.4333527,0.12535848,1.3079942,0.14,0.02
40,1.2945099,0.0,1.2945099,0.15,0.0
4531,2.236014,0.9576637,1.2783501,0.26,0.13
1748,2.3549738,1.0854497,1.2695241,0.3,0.14
776,1.254571,0.0,1.254571,0.14,0.0
13349,2.844237,1.6074084,1.2368287,0.39,0.21
1503,1.2813565,0.052682243,1.2286742,0.16,0.01
14472,1.4093637,0.1827667,1.2265971,0.18,0.02
13717,1.2613279,0.061555058,1.1997728,0.12,0.01
16069,1.1656425,0.0,1.1656425,0.15,0.0
9236,1.2882717,0.124411695,1.16386,0.1,0.02
7123,1.211447,0.051711682,1.1597353,0.08,0.01
16054,1.2782983,0.16156912,1.1167291,0.12,0.02
6092,1.1107434,0.0,1.1107434,0.12,0.0
2983,1.248683,0.15490714,1.0937759,0.15,0.02
7965,1.2141027,0.12129818,1.0928046,0.17,0.01
4085,1.077067,0.0,1.077067,0.16,0.0
10087,1.0625144,0.0,1.0625144,0.12,0.0
9136,1.045982,0.0,1.045982,0.14,0.0
4052,1.0425527,0.0,1.0425527,0.09,0.0
7937,1.1079566,0.069325335,1.0386313,0.1,0.01
12673,1.0254436,0.0,1.0254436,0.12,0.0
7973,1.0202649,0.0,1.0202649,0.14,0.0
8889,2.046477,1.0316521,1.014825,0.23,0.12
15927,1.0144165,0.0,1.0144165,0.12,0.0
5893,1.0691845,0.060554165,1.0086304,0.15,0.01
3247,1.0698535,0.061839685,1.0080138,0.15,0.01
12454,1.2587508,0.25440967,1.0043411,0.14,0.03
12051,1.0029079,0.0,1.0029079,0.1,0.0
7803,1.121886,0.119312316,1.0025737,0.16,0.02
8885,1.1764709,0.1746632,1.0018077,0.11,0.01
5864,0.9994681,0.0,0.9994681,0.12,0.0
12184,0.9992028,0.0,0.9992028,0.13,0.0
6858,0.9989801,0.0,0.9989801,0.1,0.0
9718,0.99706686,0.0,0.99706686,0.11,0.0
8822,0.9873059,0.0,0.9873059,0.12,0.0
15435,0.9791041,0.0,0.9791041,0.11,0.0
517,0.9714043,0.0,0.9714043,0.12,0.0
13858,1.0025568,0.051507637,0.95104915,0.08,0.01
