feature,freq_A,freq_B,freq_C,freq_D,mean_A,mean_B,mean_C,mean_D
11139,0.12,0.82,0.0,0.0,1.0826554,11.995762,0.0,0.0
3866,0.12,0.84,0.06,0.0,0.9880883,8.21236,0.42618945,0.0
1070,1.0,1.0,1.0,1.0,34.957577,39.751404,39.65448,36.384933
10901,1.0,1.0,1.0,1.0,27.410713,32.876713,19.1847,14.116461
5167,0.32,0.76,0.0,0.0,2.3877356,8.441348,0.0,0.0
2664,0.0,0.54,0.0,0.0,0.0,4.7315245,0.0,0.0
12418,0.76,0.92,0.68,0.38,13.020512,24.199856,11.863007,5.7560515
6530,0.02,0.52,0.0,0.02,0.23835434,5.5975842,0.0,0.215209
16315,0.02,0.44,0.0,0.02,0.14565851,4.653072,0.0,0.10342246
5528,0.02,0.44,0.02,0.0,0.11636498,3.6673615,0.11468067,0.0
7807,0.0,0.4,0.0,0.0,0.0,3.4237998,0.0,0.0
9419,0.0,0.38,0.0,0.04,0.0,3.7359838,0.0,0.37096313
14363,0.06,0.38,0.0,0.0,0.36261886,5.294414,0.0,0.0
5236,0.02,0.34,0.0,0.0,0.16337065,3.2883744,0.0,0.0
13334,0.0,0.32,0.0,0.0,0.0,2.7934523,0.0,0.0
