feature,p,q_value,effect_rb,sig_fdr,mean_pos,mean_neg
11395,1.5032729700640911e-15,2.462962434153007e-11,0.8544,True,7.447205,0.3936602
16040,5.0031318512994194e-14,4.0985656125844844e-10,0.8364,True,10.102141,1.5506772
4748,1.1862931432082881e-11,3.8872453716649187e-08,0.73,True,7.311329,0.9818689
12440,2.5952011275130532e-08,3.543314606097822e-05,0.6464000000000001,True,99.752304,65.49406
1979,5.154879668241877e-08,5.6305032322983276e-05,0.6148,True,12.863787,4.1520143
5245,3.5601853563433155e-07,0.0003070004046227836,0.5912,True,27.49374,22.170208
12122,1.8895872846937253e-09,4.923133028115786e-06,0.5775999999999999,True,4.585219,0.23347656
3242,2.3190122977605348e-09,4.923133028115786e-06,0.5744,True,7.907575,0.3055319
6882,1.1024890379700798e-07,0.00011289487748813617,0.5496000000000001,True,5.901638,1.1042463
15549,2.704357742495244e-09,4.923133028115786e-06,0.54,True,4.1925635,0.0
8293,7.05761720579988e-07,0.000574897348579549,0.5388,True,9.170773,2.566459
9569,3.4376586626290236e-08,4.332507656039533e-05,0.48,True,4.3948774,0.0
1628,6.659822890343236e-05,0.027278634558845893,0.46320000000000006,True,14.404118,10.907288
8255,1.175030203365686e-05,0.006417231617314467,0.4408000000000001,True,7.1046257,1.5615017
10054,1.734336231148785e-07,0.00015786313783967606,0.43999999999999995,True,4.4125614,0.0
6683,2.377309942484699e-05,0.01217182690552166,0.3495999999999999,True,4.5920596,0.2438071
14075,7.751825694353823e-06,0.004379514212975622,0.3400000000000001,True,3.6825528,0.0
3878,7.751825694353823e-06,0.004379514212975622,0.3400000000000001,True,3.8493884,0.0
14971,7.751825694353823e-06,0.004379514212975622,0.3400000000000001,True,2.3573997,0.0
681,7.751825694353823e-06,0.004379514212975622,0.3400000000000001,True,8.618821,0.0
3076,0.00011296932421763592,0.04514364409711578,0.3360000000000001,True,3.2057319,0.501584
40,3.238729859203754e-05,0.016079803034301305,-0.30000000000000004,True,0.0,2.5890198
9750,6.113027075775871e-05,0.027278634558845893,-0.30479999999999996,True,0.11508851,2.9824274
13334,1.5940447956790876e-05,0.008424783849163281,-0.31999999999999995,True,0.0,2.7934523
5236,3.841371539468237e-05,0.018510891559602234,-0.3204,True,0.16337065,3.288375
14363,5.75230874755488e-05,0.026927379005696903,-0.3388,True,0.3626189,5.294414
9419,1.7651593446543255e-06,0.0012050154459506861,-0.38,True,0.0,3.7359838
7807,8.258496880766924e-07,0.000588292229976023,-0.4,True,0.0,3.4237998
5528,7.731136952197394e-07,0.0005757588537491005,-0.4232,True,0.11636498,3.6673608
16315,7.368679394635332e-07,0.000574897348579549,-0.42400000000000004,True,0.14565851,4.6530724
6530,4.904837316753426e-08,5.6305032322983276e-05,-0.4952,True,0.23835434,5.5975842
12418,4.4257107767352e-06,0.0029004338146411805,-0.532,True,13.020512,24.199856
2664,2.704357742495244e-09,4.923133028115786e-06,-0.54,True,0.0,4.7315245
5167,1.2023331453914101e-07,0.00011587662502407567,-0.5840000000000001,True,2.3877356,8.441349
10901,1.4851257177895144e-08,2.2120272509330366e-05,-0.6576,True,27.410717,32.876713
1070,1.3161531685874093e-08,2.1563853514136114e-05,-0.6599999999999999,True,34.957577,39.7514
3866,4.3022871140141684e-12,1.7622168019002034e-08,-0.7456,True,0.98808837,8.21236
11139,8.853307602692137e-13,4.835086392083599e-09,-0.7656000000000001,True,1.0826555,11.995761
