layer,AUC_last,AUC_mean,AUC_null
0,0.8031999999999999,0.9964,0.5
1,0.9933000000000001,0.998,0.56315
2,0.9983,0.999,0.5589500000000001
3,0.9984000000000001,0.9995999999999999,0.56265
4,0.9921,0.9998,0.55925
5,0.9988,0.9999,0.56185
6,0.9946999999999999,1.0,0.56295
7,0.9961,1.0,0.56295
8,0.9938,1.0,0.5631499999999999
9,0.9989,1.0,0.5633499999999999
10,0.9993,1.0,0.56395
11,0.9998,1.0,0.5640499999999999
12,0.9996999999999999,1.0,0.5640499999999999
13,0.9999,1.0,0.56395
14,1.0,1.0,0.56375
15,1.0,1.0,0.55965
16,1.0,1.0,0.56265
17,1.0,1.0,0.5536500000000001
18,1.0,1.0,0.5536500000000001
19,1.0,1.0,0.5536500000000001
20,1.0,1.0,0.55495
21,1.0,1.0,0.55415
22,1.0,1.0,0.5536500000000001
23,1.0,1.0,0.5538500000000001
24,1.0,1.0,0.55405
25,1.0,1.0,0.55815
26,1.0,1.0,0.55935
27,1.0,1.0,0.55515
28,1.0,1.0,0.5630499999999999
29,1.0,1.0,0.56315
30,1.0,1.0,0.56305
31,1.0,1.0,0.56325
32,0.9999,1.0,0.56325
33,0.9998,1.0,0.56325
34,0.9995999999999999,1.0,0.56325
35,0.9997,0.9999,0.5638500000000001
36,0.9995999999999999,0.9999,0.5638500000000001
37,0.9997,0.9999,0.5638500000000001
38,0.9995999999999999,1.0,0.5637500000000001
39,0.9994999999999999,0.9999,0.5636500000000001
40,0.9997,1.0,0.5638500000000001
41,0.9998,1.0,0.5638500000000001
42,1.0,1.0,0.56345
